type,benchmark,workers,execution time (s),padding,read percentage,writes,reads,write throughput (ops/s),read throughput (ops/s),abort rate,avg adjust interval (ms),avg balance interval (ms),avg phase interval (ms),energy consumption (J)
Write,single,8,60,100000,0,931345,0,15522.4,0,0.704036,0,0,0,689.01
Write,single,8,60,100000,0,943513,0,15725.2,0,0.697793,0,0,0,690.55
Write,single,8,60,100000,0,937565,0,15626.1,0,0.701048,0,0,0,691.92
Write,single,8,60,100000,0,946806,0,15780.1,0,0.69668,0,0,0,691.78
Write,single,8,60,100000,0,948971,0,15816.2,0,0.695952,0,0,0,693.18
Write,mrv-flex-vector,8,60,100000,0,1901211,0,31686.8,0,0.381796,0.000554,0,0,694.22
Write,mrv-flex-vector,8,60,100000,0,1903723,0,31728.7,0,0.380175,0.000593,0,0,694.11
Write,mrv-flex-vector,8,60,100000,0,1836291,0,30604.8,0,0.402053,0.000569,0,0,696.24
Write,mrv-flex-vector,8,60,100000,0,1886748,0,31445.8,0,0.387339,0.000601,0,0,698.16
Write,mrv-flex-vector,8,60,100000,0,1914641,0,31910.7,0,0.377247,0.000584,0,0,694.18
Write,pr-array,8,60,100000,0,2965372,0,49422.9,0,0.0172971,0,0,0.074624,702.52
Write,pr-array,8,60,100000,0,2988242,0,49804,0,0.00815297,0,0,0.085319,702.52
Write,pr-array,8,60,100000,0,2727977,0,45466.3,0,0.10205,0,0,0.064682,705.75
Write,pr-array,8,60,100000,0,2855636,0,47593.9,0,0.0588949,0,0,0.07606,704.43
Write,pr-array,8,60,100000,0,2970458,0,49507.6,0,0.0148413,0,0,0.057872,703.63
Mixed,single,8,60,100000,50,796677,805769,13278,13429.5,0.489723,0,0,0,691.66
Mixed,single,8,60,100000,50,785114,822723,13085.2,13712,0.488526,0,0,0,696.65
Mixed,single,8,60,100000,50,783822,823477,13063.7,13724.6,0.490593,0,0,0,692.52
Mixed,single,8,60,100000,50,786860,818122,13114.3,13635.4,0.490602,0,0,0,691.40
Mixed,single,8,60,100000,50,800058,801233,13334.3,13353.9,0.489882,0,0,0,690.59
Mixed,mrv-flex-vector,8,60,100000,50,961995,961084,16033.2,16018.1,0.378029,0.000578,0,0,692.65
Mixed,mrv-flex-vector,8,60,100000,50,952985,956194,15883.1,15936.6,0.382747,0.000639,0,0,691.84
Mixed,mrv-flex-vector,8,60,100000,50,965298,965886,16088.3,16098.1,0.374309,0.000605,0,0,694.08
Mixed,mrv-flex-vector,8,60,100000,50,965290,965101,16088.2,16085,0.376623,0.000568,0,0,691.71
Mixed,mrv-flex-vector,8,60,100000,50,963237,962001,16054,16033.4,0.377791,0.00059,0,0,691.94
Mixed,pr-array,8,60,100000,50,788481,788232,13141.4,13137.2,0.488365,0,0,0.058866,693.74
Mixed,pr-array,8,60,100000,50,778720,801947,12978.7,13365.8,0.488595,0,0,0.044027,693.99
Mixed,pr-array,8,60,100000,50,788677,789142,13144.6,13152.4,0.487616,0,0,0.035553,694.39
Mixed,pr-array,8,60,100000,50,788930,786775,13148.8,13112.9,0.488041,0,0,0.049223,693.60
Mixed,pr-array,8,60,100000,50,786903,789868,13115,13164.5,0.488063,0,0,0.040719,696.15
