type,benchmark,workers,execution time (s),abort rate,avg adjust interval (ms),avg balance interval (ms),avg phase interval (ms),energy consumption (J)
Low,single,8,11.5903,0.00812485,0,0,0,152.80
Low,single,8,11.8188,0.00803578,0,0,0,157.38
Low,single,8,11.7745,0.00811328,0,0,0,157.20
Low,single,8,11.6602,0.00793603,0,0,0,157.41
Low,single,8,11.7697,0.00817984,0,0,0,159.28
Low,mrv-flex-vector,8,12.8512,0.00268533,0.84896,0,0,175.70
Low,mrv-flex-vector,8,13.0996,0.00267963,0.97545,0,0,180.84
Low,mrv-flex-vector,8,12.9448,0.00268802,0.979698,0,0,180.19
Low,mrv-flex-vector,8,13.0259,0.00269212,0.921292,0,0,179.75
Low,mrv-flex-vector,8,12.8346,0.00268721,0.886718,0,0,176.65
Low,pr-array,8,14.7945,0.00785991,0,0,101.933,209.74
Low,pr-array,8,14.7789,0.0077671,0,0,101.029,209.84
Low,pr-array,8,15.0266,0.00787857,0,0,98.9466,213.99
Low,pr-array,8,14.9948,0.00783587,0,0,99.7042,213.98
Low,pr-array,8,15.0169,0.00783684,0,0,101.102,214.78
High,single,8,22.1207,0.0741861,0,0,0,295.03
High,single,8,22.2244,0.0739954,0,0,0,300.62
High,single,8,22.3685,0.0728414,0,0,0,305.69
High,single,8,22.5735,0.0732847,0,0,0,311.70
High,single,8,22.2176,0.0729244,0,0,0,306.67
High,mrv-flex-vector,8,22.9396,0.0107416,0.878364,0,0,321.56
High,mrv-flex-vector,8,23.0078,0.0107361,0.930118,0,0,320.12
High,mrv-flex-vector,8,23.1938,0.010763,0.925369,0,0,324.78
High,mrv-flex-vector,8,22.9341,0.0107557,0.960776,0,0,320.73
High,mrv-flex-vector,8,23.0341,0.0107422,0.854065,0,0,322.88
High,pr-array,8,29.3408,0.0704938,0,0,128.49,412.43
High,pr-array,8,35.3163,0.0701067,0,0,81.7301,447.75
High,pr-array,8,31.4569,0.0703062,0,0,104.142,425.02
High,pr-array,8,28.452,0.0712055,0,0,141.26,409.28
High,pr-array,8,28.8336,0.0713485,0,0,136.482,412.95
