benchmark,workers,execution time (s),abort rate,avg adjust interval (ms),avg balance interval (ms),avg phase interval (ms)
single,1,18.9196,0.00175727,0,0,0
single,1,19.0308,0.00175727,0,0,0
single,1,18.9209,0.00175727,0,0,0
single,1,19.0305,0.00175727,0,0,0
single,1,19.1871,0.00175727,0,0,0
single,2,27.5589,0.0119674,0,0,0
single,2,28.4369,0.0118842,0,0,0
single,2,28.9536,0.0118938,0,0,0
single,2,27.8733,0.0119734,0,0,0
single,2,28.7015,0.0119054,0,0,0
single,4,28.9317,0.0320402,0,0,0
single,4,31.1538,0.0318074,0,0,0
single,4,27.9751,0.0322225,0,0,0
single,4,29.9766,0.0318022,0,0,0
single,4,28.0946,0.032156,0,0,0
single,8,54.4529,0.0750148,0,0,0
single,8,47.8552,0.0710105,0,0,0
single,8,50.7512,0.0707531,0,0,0
single,8,75.8687,0.0738382,0,0,0
single,8,50.4122,0.0755935,0,0,0
single,16,71.3736,0.251203,0,0,0
single,16,89.0092,0.253519,0,0,0
single,16,77.3095,0.251772,0,0,0
single,16,75.0626,0.241183,0,0,0
single,16,73.9263,0.244255,0,0,0
single,32,121.275,0.378699,0,0,0
single,32,117.051,0.381076,0,0,0
single,32,118.347,0.379452,0,0,0
single,32,124.627,0.387554,0,0,0
single,32,117.982,0.383875,0,0,0
single,64,214.818,0.443619,0,0,0
single,64,235.488,0.448495,0,0,0
single,64,301.372,0.428034,0,0,0
single,64,305.656,0.435337,0,0,0
single,64,201.835,0.428575,0,0,0
single,128,608.796,0.466432,0,0,0
single,128,512.262,0.498922,0,0,0
single,128,538.113,0.431651,0,0,0
single,128,369.497,0.443627,0,0,0
single,128,428.877,0.46367,0,0,0
mrv-flex-vector,1,27.149,0.00964493,1.2779,0,0
mrv-flex-vector,1,26.9343,0.00964493,1.28323,0,0
mrv-flex-vector,1,26.8816,0.00964493,1.27885,0,0
mrv-flex-vector,1,26.834,0.00964493,1.26943,0,0
mrv-flex-vector,1,26.6944,0.00964493,1.28233,0,0
mrv-flex-vector,2,32.9503,0.00980829,1.22408,0,0
mrv-flex-vector,2,32.2797,0.00980483,1.30252,0,0
mrv-flex-vector,2,32.652,0.00980557,1.3871,0,0
mrv-flex-vector,2,31.2732,0.00980944,1.3077,0,0
mrv-flex-vector,2,31.3242,0.00982102,1.30096,0,0
mrv-flex-vector,4,30.5834,0.0100143,1.3538,0,0
mrv-flex-vector,4,29.7011,0.0100102,1.34231,0,0
mrv-flex-vector,4,30.2631,0.0099858,1.35241,0,0
mrv-flex-vector,4,30.418,0.0100271,1.38538,0,0
mrv-flex-vector,4,30.9293,0.010037,1.38854,0,0
mrv-flex-vector,8,45.3066,0.0105261,2.08148,0,0
mrv-flex-vector,8,47.3739,0.0104938,2.35645,0,0
mrv-flex-vector,8,52.4044,0.0104626,2.27336,0,0
mrv-flex-vector,8,47.5333,0.0104827,2.26787,0,0
mrv-flex-vector,8,51.9305,0.0104883,2.45026,0,0
mrv-flex-vector,16,68.4041,0.0127493,2.57141,0,0
mrv-flex-vector,16,68.1567,0.012597,2.73124,0,0
mrv-flex-vector,16,66.0805,0.0128498,2.55853,0,0
mrv-flex-vector,16,85.6543,0.0128452,3.14833,0,0
mrv-flex-vector,16,65.9521,0.0128089,2.44015,0,0
mrv-flex-vector,32,85.9479,0.0183036,27.5173,0,0
mrv-flex-vector,32,85.1109,0.0182962,26.3904,0,0
mrv-flex-vector,32,86.983,0.0183175,28.4469,0,0
mrv-flex-vector,32,85.4395,0.0183311,32.852,0,0
mrv-flex-vector,32,87.1318,0.0181319,27.0508,0,0
mrv-flex-vector,64,129.098,0.0279586,612.928,0,0
mrv-flex-vector,64,123.595,0.0278908,574.633,0,0
mrv-flex-vector,64,135.12,0.0278191,657.027,0,0
mrv-flex-vector,64,133.804,0.0279714,668.32,0,0
mrv-flex-vector,64,134.03,0.0279408,711.402,0,0
mrv-flex-vector,128,222.159,0.0431188,4841.21,0,0
mrv-flex-vector,128,300.585,0.0427295,6491.4,0,0
mrv-flex-vector,128,304.016,0.0423534,6580.75,0,0
mrv-flex-vector,128,321.315,0.0428533,6830.75,0,0
mrv-flex-vector,128,323.105,0.0431693,7071.85,0,0
pr-array,1,29.7115,0.00175727,0,0,48.7265
pr-array,1,29.7732,0.00175727,0,0,48.1904
pr-array,1,29.8673,0.00175727,0,0,48.9944
pr-array,1,29.7209,0.00175727,0,0,48.002
pr-array,1,30.1313,0.00175727,0,0,48.9498
pr-array,2,32.1807,0.012165,0,0,52.5962
pr-array,2,31.433,0.0122659,0,0,51.351
pr-array,2,32.4324,0.0119438,0,0,51.3327
pr-array,2,31.6177,0.0119415,0,0,51.2191
pr-array,2,31.947,0.0122605,0,0,51.366
pr-array,4,35.5052,0.0328042,0,0,60.2812
pr-array,4,34.5707,0.0324943,0,0,59.9985
pr-array,4,35.67,0.0324415,0,0,60.5884
pr-array,4,35.1331,0.0326225,0,0,59.3781
pr-array,4,35.9661,0.0326621,0,0,59.6214
pr-array,8,81.8003,0.0671299,0,0,74.3128
pr-array,8,85.6563,0.0671433,0,0,71.9514
pr-array,8,74.8126,0.0683002,0,0,74.6494
pr-array,8,80.3993,0.0667478,0,0,68.9125
pr-array,8,73.4465,0.0689949,0,0,72.525
pr-array,16,132.965,0.115304,0,0,55.4007
pr-array,16,132.32,0.114778,0,0,56.1695
pr-array,16,130.383,0.115149,0,0,55.4547
pr-array,16,135.826,0.116059,0,0,58.6154
pr-array,16,134.691,0.116277,0,0,58.2562
pr-array,32,168.529,0.202256,0,0,63.2239
pr-array,32,176.849,0.202228,0,0,67.4063
pr-array,32,165.15,0.202165,0,0,62.4285
pr-array,32,163.476,0.200526,0,0,62.6644
pr-array,32,175.75,0.201498,0,0,67.7423
pr-array,64,257.897,0.331512,0,0,101.502
pr-array,64,228.465,0.330432,0,0,86.6461
pr-array,64,263.92,0.329422,0,0,104.329
pr-array,64,256.514,0.330732,0,0,100.178
pr-array,64,258.663,0.331356,0,0,100.852
pr-array,128,504.442,0.489348,0,0,215.359
pr-array,128,498.597,0.490753,0,0,210.671
pr-array,128,521.195,0.490164,0,0,222.022
pr-array,128,539.883,0.489991,0,0,231.185
pr-array,128,515.243,0.490653,0,0,219.492
