benchmark,workers,execution time (s),padding,read percentage,writes,reads,write throughput (ops/s),read throughput (ops/s),abort rate,avg adjust interval (ms),avg balance interval (ms),avg phase interval (ms)
single,1,60,100000,50,385248,383907,6420.8,6398.45,0,0,0,0
single,1,60,100000,50,362968,388375,6049.47,6472.92,0.0325985,0,0,0
single,1,60,100000,50,384519,384329,6408.65,6405.48,0.000581051,0,0,0
single,1,60,100000,50,367677,387789,6127.95,6463.15,0.0251699,0,0,0
single,1,60,100000,50,383360,384779,6389.33,6412.98,0.00192173,0,0,0
single,2,60,100000,50,564004,581851,9400.07,9697.52,0.247406,0,0,0
single,2,60,100000,50,570536,576567,9508.93,9609.45,0.245254,0,0,0
single,2,60,100000,50,564934,579622,9415.57,9660.37,0.249208,0,0,0
single,2,60,100000,50,531681,598780,8861.35,9979.67,0.26554,0,0,0
single,2,60,100000,50,568036,578397,9467.27,9639.95,0.247277,0,0,0
single,4,60,100000,50,737411,736326,12290.2,12272.1,0.515076,0,0,0
single,4,60,100000,50,739445,740128,12324.1,12335.5,0.513033,0,0,0
single,4,60,100000,50,722185,764397,12036.4,12740,0.512483,0,0,0
single,4,60,100000,50,735498,736582,12258.3,12276.4,0.515928,0,0,0
single,4,60,100000,50,751580,752087,12526.3,12534.8,0.505394,0,0,0
single,8,60,100000,50,911988,943015,15199.8,15716.9,0.674268,0,0,0
single,8,60,100000,50,923789,922264,15396.5,15371.1,0.676687,0,0,0
single,8,60,100000,50,929270,945618,15487.8,15760.3,0.675115,0,0,0
single,8,60,100000,50,927920,946407,15465.3,15773.5,0.675859,0,0,0
single,8,60,100000,50,936853,940433,15614.2,15673.9,0.676017,0,0,0
single,16,60,100000,50,448466,479682,7474.43,7994.7,0.787168,0,0,0
single,16,60,100000,50,622118,661253,10368.6,11020.9,0.791931,0,0,0
single,16,60,100000,50,451290,482636,7521.5,8043.93,0.787162,0,0,0
single,16,60,100000,50,558557,568504,9309.28,9475.07,0.793427,0,0,0
single,16,60,100000,50,510998,542221,8516.63,9037.02,0.789486,0,0,0
single,32,60,100000,50,208161,214895,3469.35,3581.58,0.829271,0,0,0
single,32,60,100000,50,207230,214219,3453.83,3570.32,0.829186,0,0,0
single,32,60,100000,50,212658,220116,3544.3,3668.6,0.833625,0,0,0
single,32,60,100000,50,217547,220037,3625.78,3667.28,0.836899,0,0,0
single,32,60,100000,50,164729,196366,2745.48,3272.77,0.81293,0,0,0
single,64,60,100000,50,70143,73400,1169.05,1223.33,0.856401,0,0,0
single,64,60,100000,50,56865,61529,947.75,1025.48,0.850985,0,0,0
single,64,60,100000,50,49406,49945,823.433,832.417,0.846947,0,0,0
single,64,60,100000,50,49372,50723,822.867,845.383,0.844797,0,0,0
single,64,60,100000,50,77643,77412,1294.05,1290.2,0.862204,0,0,0
single,128,60,100000,50,27406,29698,456.767,494.967,0.859557,0,0,0
single,128,60,100000,50,33457,33421,557.617,557.017,0.866224,0,0,0
single,128,60,100000,50,38221,43391,637.017,723.183,0.80042,0,0,0
single,128,60,100000,50,34108,40259,568.467,670.983,0.843518,0,0,0
single,128,60,100000,50,35290,36881,588.167,614.683,0.819084,0,0,0
mrv-flex-vector,1,60,100000,50,348984,388963,5816.4,6482.72,0.0514637,0.000726,0,0
mrv-flex-vector,1,60,100000,50,355629,388286,5927.15,6471.43,0.0412873,0.000702,0,0
mrv-flex-vector,1,60,100000,50,377395,384711,6289.92,6411.85,0.00886178,0.000737,0,0
mrv-flex-vector,1,60,100000,50,369195,385333,6153.25,6422.22,0.022261,0.000739,0,0
mrv-flex-vector,1,60,100000,50,361978,386795,6032.97,6446.58,0.0322317,0.000719,0,0
mrv-flex-vector,2,60,100000,50,549599,579050,9159.98,9650.83,0.256932,0.000249,0,0
mrv-flex-vector,2,60,100000,50,569097,571173,9484.95,9519.55,0.242401,0.000276,0,0
mrv-flex-vector,2,60,100000,50,564290,570128,9404.83,9502.13,0.247899,0.000254,0,0
mrv-flex-vector,2,60,100000,50,546220,581802,9103.67,9696.7,0.257357,0.000269,0,0
mrv-flex-vector,2,60,100000,50,557096,574930,9284.93,9582.17,0.251361,0.000278,0,0
mrv-flex-vector,4,60,100000,50,902456,903815,15040.9,15063.6,0.397692,0.000265,0,0
mrv-flex-vector,4,60,100000,50,910659,909678,15177.6,15161.3,0.392862,0.000265,0,0
mrv-flex-vector,4,60,100000,50,902107,902158,15035.1,15036,0.397753,0.000243,0,0
mrv-flex-vector,4,60,100000,50,895189,899155,14919.8,14985.9,0.401663,0.00025,0,0
mrv-flex-vector,4,60,100000,50,910698,907151,15178.3,15119.2,0.394307,0.000264,0,0
mrv-flex-vector,8,60,100000,50,1228766,1231011,20479.4,20516.8,0.553007,0.000327,0,0
mrv-flex-vector,8,60,100000,50,1222724,1223341,20378.7,20389,0.553897,0.000388,0,0
mrv-flex-vector,8,60,100000,50,1209714,1214948,20161.9,20249.1,0.55871,0.000327,0,0
mrv-flex-vector,8,60,100000,50,1221402,1220277,20356.7,20338,0.555013,0.000477,0,0
mrv-flex-vector,8,60,100000,50,1221639,1220835,20360.7,20347.2,0.555121,0.000397,0,0
