benchmark,workers,execution time (s),padding,read percentage,writes,reads,write throughput (ops/s),read throughput (ops/s),abort rate,avg adjust interval (ms),avg balance interval (ms),avg phase interval (ms)
single,8,60,10,50,1002837,1099790,16714,18329.8,0.613981,0,0,0
single,8,60,10,50,985437,986015,16424,16433.6,0.617958,0,0,0
single,8,60,10,50,983539,1043640,16392.3,17394,0.616117,0,0,0
single,8,60,10,50,997012,1011966,16616.9,16866.1,0.622605,0,0,0
single,8,60,10,50,999631,1112549,16660.5,18542.5,0.614565,0,0,0
single,8,60,1000,50,1074481,1105936,17908,18432.3,0.626184,0,0,0
single,8,60,1000,50,1080157,1102155,18002.6,18369.2,0.625356,0,0,0
single,8,60,1000,50,1030251,1099241,17170.8,18320.7,0.626578,0,0,0
single,8,60,1000,50,1079492,1107009,17991.5,18450.2,0.629188,0,0,0
single,8,60,1000,50,1055393,1089614,17589.9,18160.2,0.62778,0,0,0
single,8,60,100000,50,926676,948993,15444.6,15816.5,0.675761,0,0,0
single,8,60,100000,50,926475,955895,15441.2,15931.6,0.675717,0,0,0
single,8,60,100000,50,921623,945730,15360.4,15762.2,0.675179,0,0,0
single,8,60,100000,50,922295,937226,15371.6,15620.4,0.676966,0,0,0
single,8,60,100000,50,901190,972231,15019.8,16203.9,0.671582,0,0,0
single,8,60,10000000,50,8192,14363,136.533,239.383,0.655688,0,0,0
single,8,60,10000000,50,8277,13427,137.95,223.783,0.66594,0,0,0
single,8,60,10000000,50,10117,11299,168.617,188.317,0.660235,0,0,0
single,8,60,10000000,50,10216,10123,170.267,168.717,0.673837,0,0,0
single,8,60,10000000,50,9245,10043,154.083,167.383,0.692451,0,0,0
mrv-flex-vector,8,60,10,50,1657104,1656548,27618.4,27609.1,0.359028,0.000272,0,0
mrv-flex-vector,8,60,10,50,1639004,1639029,27316.7,27317.2,0.361168,0.000287,0,0
mrv-flex-vector,8,60,10,50,1650551,1650693,27509.2,27511.5,0.359749,0.000265,0,0
mrv-flex-vector,8,60,10,50,1663445,1666631,27724.1,27777.2,0.36084,0.0003,0,0
mrv-flex-vector,8,60,10,50,1607516,1607494,26791.9,26791.6,0.362771,0.000268,0,0
mrv-flex-vector,8,60,1000,50,1667459,1668176,27791,27802.9,0.372101,0.000435,0,0
mrv-flex-vector,8,60,1000,50,1685468,1685696,28091.1,28094.9,0.371448,0.000307,0,0
mrv-flex-vector,8,60,1000,50,1697114,1699283,28285.2,28321.4,0.371559,0.000277,0,0
mrv-flex-vector,8,60,1000,50,1712199,1711774,28536.7,28529.6,0.373822,0.000311,0,0
mrv-flex-vector,8,60,1000,50,1640844,1641429,27347.4,27357.2,0.373852,0.000288,0,0
mrv-flex-vector,8,60,100000,50,1233921,1232208,20565.3,20536.8,0.530388,0.000435,0,0
mrv-flex-vector,8,60,100000,50,1221508,1220421,20358.5,20340.3,0.533389,0.000371,0,0
mrv-flex-vector,8,60,100000,50,1224349,1227101,20405.8,20451.7,0.556086,0.000351,0,0
mrv-flex-vector,8,60,100000,50,1228051,1225031,20467.5,20417.2,0.553191,0.000335,0,0
mrv-flex-vector,8,60,100000,50,1229901,1227568,20498.3,20459.5,0.555238,0.000654,0,0
mrv-flex-vector,8,60,10000000,50,14883,15117,248.05,251.95,0.517983,0.003237,0,0
mrv-flex-vector,8,60,10000000,50,11660,12800,194.333,213.333,0.595559,0.008274,0,0
mrv-flex-vector,8,60,10000000,50,14713,14366,245.217,239.433,0.529291,0.003317,0,0
mrv-flex-vector,8,60,10000000,50,12606,12679,210.1,211.317,0.575041,0.008683,0,0
mrv-flex-vector,8,60,10000000,50,13643,13139,227.383,218.983,0.553135,0.011815,0,0
pr-array,8,60,10,50,1020483,1050427,17008,17507.1,0.61696,0,0,0.105411
pr-array,8,60,10,50,1009375,1065190,16822.9,17753.2,0.613584,0,0,0.106728
pr-array,8,60,10,50,949895,1027037,15831.6,17117.3,0.614375,0,0,0.112231
pr-array,8,60,10,50,1028174,1043892,17136.2,17398.2,0.61605,0,0,0.104399
pr-array,8,60,10,50,1017370,1033508,16956.2,17225.1,0.615553,0,0,0.107
pr-array,8,60,1000,50,1020971,1027002,17016.2,17116.7,0.624856,0,0,0.097146
pr-array,8,60,1000,50,988757,1063183,16479.3,17719.7,0.62655,0,0,0.096291
pr-array,8,60,1000,50,987325,1026748,16455.4,17112.5,0.628008,0,0,0.096901
pr-array,8,60,1000,50,1013723,1091502,16895.4,18191.7,0.622322,0,0,0.099641
pr-array,8,60,1000,50,954460,989747,15907.7,16495.8,0.621552,0,0,0.108258
pr-array,8,60,100000,50,474143,497546,7902.38,8292.43,0.664803,0,0,0.021451
pr-array,8,60,100000,50,475513,484402,7925.22,8073.37,0.666035,0,0,0.020118
pr-array,8,60,100000,50,469787,501885,7829.78,8364.75,0.661199,0,0,0.023509
pr-array,8,60,100000,50,464288,519036,7738.13,8650.6,0.65869,0,0,0.025058
pr-array,8,60,100000,50,469992,470823,7833.2,7847.05,0.6649,0,0,0.024401
pr-array,8,60,10000000,50,10682,10791,178.033,179.85,0.608757,0,0,0.016883
pr-array,8,60,10000000,50,10772,10733,179.533,178.883,0.608114,0,0,0.017157
pr-array,8,60,10000000,50,10670,10858,177.833,180.967,0.607394,0,0,0.016351
pr-array,8,60,10000000,50,10818,11021,180.3,183.683,0.603064,0,0,0.016379
pr-array,8,60,10000000,50,10471,11673,174.517,194.55,0.603191,0,0,0.016675
