benchmark,records,workers,execution time (s),padding,read percentage,writes,reads,write throughput (ops/s),read throughput (ops/s),abort rate,avg adjust interval (ms),avg balance interval (ms),avg phase interval (ms)
mrv-flex-vector.balance-none,2,8,60,100000,0,1612867,0,26881.1,0,0.680202,0,0.008229,0
mrv-flex-vector.balance-none,2,8,60,100000,0,1622658,0,27044.3,0,0.681637,0,0.008228,0
mrv-flex-vector.balance-none,2,8,60,100000,0,1624735,0,27078.9,0,0.68328,0,0.006221,0
mrv-flex-vector.balance-none,2,8,60,100000,0,1474841,0,24580.7,0,0.674337,0,0.014169,0
mrv-flex-vector.balance-none,2,8,60,100000,0,1614827,0,26913.8,0,0.680229,0,0.007531,0
mrv-flex-vector.balance-random,2,8,60,100000,0,1652228,0,27537.1,0,0.681527,0,0.027089,0
mrv-flex-vector.balance-random,2,8,60,100000,0,1544379,0,25739.7,0,0.677958,0,0.0493,0
mrv-flex-vector.balance-random,2,8,60,100000,0,1552337,0,25872.3,0,0.681582,0,0.046982,0
mrv-flex-vector.balance-random,2,8,60,100000,0,1645806,0,27430.1,0,0.678897,0,0.034778,0
mrv-flex-vector.balance-random,2,8,60,100000,0,1519321,0,25322,0,0.678592,0,0.058304,0
mrv-flex-vector.balance-minmax,2,8,60,100000,0,1568268,0,26137.8,0,0.685252,0,0.038055,0
mrv-flex-vector.balance-minmax,2,8,60,100000,0,1625626,0,27093.8,0,0.684955,0,0.029523,0
mrv-flex-vector.balance-minmax,2,8,60,100000,0,1646377,0,27439.6,0,0.681197,0,0.027568,0
mrv-flex-vector.balance-minmax,2,8,60,100000,0,1597484,0,26624.7,0,0.684955,0,0.034567,0
mrv-flex-vector.balance-minmax,2,8,60,100000,0,1608438,0,26807.3,0,0.680021,0,0.030701,0
mrv-flex-vector.balance-all,2,8,60,100000,0,1657788,0,27629.8,0,0.68087,0,0.030291,0
mrv-flex-vector.balance-all,2,8,60,100000,0,1645919,0,27432,0,0.682454,0,0.027799,0
mrv-flex-vector.balance-all,2,8,60,100000,0,1577148,0,26285.8,0,0.680821,0,0.037933,0
mrv-flex-vector.balance-all,2,8,60,100000,0,1622582,0,27043,0,0.681922,0,0.029231,0
mrv-flex-vector.balance-all,2,8,60,100000,0,1647432,0,27457.2,0,0.681173,0,0.025336,0
mrv-flex-vector.balance-none,4,8,60,100000,0,2508116,0,41801.9,0,0.506808,0,0.006957,0
mrv-flex-vector.balance-none,4,8,60,100000,0,2409617,0,40160.3,0,0.506716,0,0.01157,0
mrv-flex-vector.balance-none,4,8,60,100000,0,2460304,0,41005.1,0,0.50493,0,0.00954,0
mrv-flex-vector.balance-none,4,8,60,100000,0,2422316,0,40371.9,0,0.5061,0,0.011043,0
mrv-flex-vector.balance-none,4,8,60,100000,0,2433505,0,40558.4,0,0.505031,0,0.009669,0
mrv-flex-vector.balance-random,4,8,60,100000,0,2377866,0,39631.1,0,0.504592,0,0.051781,0
mrv-flex-vector.balance-random,4,8,60,100000,0,2469882,0,41164.7,0,0.508635,0,0.036902,0
mrv-flex-vector.balance-random,4,8,60,100000,0,2460058,0,41001,0,0.499815,0,0.047407,0
mrv-flex-vector.balance-random,4,8,60,100000,0,2459113,0,40985.2,0,0.499628,0,0.046317,0
mrv-flex-vector.balance-random,4,8,60,100000,0,2431191,0,40519.8,0,0.505785,0,0.045635,0
mrv-flex-vector.balance-minmax,4,8,60,100000,0,2435370,0,40589.5,0,0.510959,0,0.059968,0
mrv-flex-vector.balance-minmax,4,8,60,100000,0,2483935,0,41398.9,0,0.50234,0,0.056602,0
mrv-flex-vector.balance-minmax,4,8,60,100000,0,2460716,0,41011.9,0,0.499862,0,0.059776,0
mrv-flex-vector.balance-minmax,4,8,60,100000,0,2478261,0,41304.3,0,0.500013,0,0.059884,0
mrv-flex-vector.balance-minmax,4,8,60,100000,0,2217342,0,36955.7,0,0.499164,0,0.130284,0
mrv-flex-vector.balance-all,4,8,60,100000,0,2385081,0,39751.3,0,0.499984,0,0.074949,0
mrv-flex-vector.balance-all,4,8,60,100000,0,2475685,0,41261.4,0,0.502674,0,0.060652,0
mrv-flex-vector.balance-all,4,8,60,100000,0,2195086,0,36584.8,0,0.510153,0,0.107253,0
mrv-flex-vector.balance-all,4,8,60,100000,0,2494706,0,41578.4,0,0.501558,0,0.068881,0
mrv-flex-vector.balance-all,4,8,60,100000,0,2528223,0,42137.1,0,0.500758,0,0.056468,0
mrv-flex-vector.balance-none,8,8,60,100000,0,2737905,0,45631.8,0,0.333064,0,0.01922,0
mrv-flex-vector.balance-none,8,8,60,100000,0,3082073,0,51367.9,0,0.337227,0,0.012173,0
mrv-flex-vector.balance-none,8,8,60,100000,0,3210465,0,53507.8,0,0.330386,0,0.01022,0
mrv-flex-vector.balance-none,8,8,60,100000,0,2912400,0,48540,0,0.335682,0,0.014998,0
mrv-flex-vector.balance-none,8,8,60,100000,0,2868388,0,47806.5,0,0.332303,0,0.016849,0
mrv-flex-vector.balance-random,8,8,60,100000,0,3121947,0,52032.4,0,0.324964,0,0.063368,0
mrv-flex-vector.balance-random,8,8,60,100000,0,2835619,0,47260.3,0,0.333778,0,0.089406,0
mrv-flex-vector.balance-random,8,8,60,100000,0,2753349,0,45889.2,0,0.328515,0,0.111021,0
mrv-flex-vector.balance-random,8,8,60,100000,0,3032776,0,50546.3,0,0.334575,0,0.060495,0
mrv-flex-vector.balance-random,8,8,60,100000,0,3173438,0,52890.6,0,0.326825,0,0.062579,0
mrv-flex-vector.balance-minmax,8,8,60,100000,0,2924212,0,48736.9,0,0.328767,0,0.194566,0
mrv-flex-vector.balance-minmax,8,8,60,100000,0,3240705,0,54011.8,0,0.323618,0,0.106829,0
mrv-flex-vector.balance-minmax,8,8,60,100000,0,3208681,0,53478,0,0.321912,0,0.135225,0
mrv-flex-vector.balance-minmax,8,8,60,100000,0,3277049,0,54617.5,0,0.323756,0,0.10383,0
mrv-flex-vector.balance-minmax,8,8,60,100000,0,3162128,0,52702.1,0,0.322845,0,0.134161,0
mrv-flex-vector.balance-all,8,8,60,100000,0,3177429,0,52957.2,0,0.323409,0,0.178193,0
mrv-flex-vector.balance-all,8,8,60,100000,0,3002677,0,50044.6,0,0.330101,0,0.222904,0
mrv-flex-vector.balance-all,8,8,60,100000,0,3229970,0,53832.8,0,0.327318,0,0.143256,0
mrv-flex-vector.balance-all,8,8,60,100000,0,2837445,0,47290.8,0,0.332148,0,0.327186,0
mrv-flex-vector.balance-all,8,8,60,100000,0,2719515,0,45325.2,0,0.333331,0,0.402708,0
mrv-flex-vector.balance-none,16,8,60,100000,0,3703933,0,61732.2,0,0.200568,0,0.013026,0
mrv-flex-vector.balance-none,16,8,60,100000,0,3541769,0,59029.5,0,0.204046,0,0.013602,0
mrv-flex-vector.balance-none,16,8,60,100000,0,3535751,0,58929.2,0,0.214903,0,0.015015,0
mrv-flex-vector.balance-none,16,8,60,100000,0,3649819,0,60830.3,0,0.206835,0,0.0134,0
mrv-flex-vector.balance-none,16,8,60,100000,0,3640714,0,60678.6,0,0.199682,0,0.014406,0
mrv-flex-vector.balance-random,16,8,60,100000,0,3016742,0,50279,0,0.199697,0,0.15298,0
mrv-flex-vector.balance-random,16,8,60,100000,0,3691687,0,61528.1,0,0.201167,0,0.062881,0
mrv-flex-vector.balance-random,16,8,60,100000,0,3743477,0,62391.3,0,0.194467,0,0.064455,0
mrv-flex-vector.balance-random,16,8,60,100000,0,3581758,0,59696,0,0.195847,0,0.081832,0
mrv-flex-vector.balance-random,16,8,60,100000,0,3765210,0,62753.5,0,0.19301,0,0.060704,0
mrv-flex-vector.balance-minmax,16,8,60,100000,0,3563173,0,59386.2,0,0.19507,0,0.461292,0
