benchmark,workers,execution time (s),abort rate,avg adjust interval (ms),avg balance interval (ms),avg phase interval (ms)
Original,1,26.9747,0.00964493,1.27461,0,0
Original,1,26.5731,0.00964493,1.25503,0,0
Original,1,26.8724,0.00964493,1.26669,0,0
Original,1,26.9614,0.00964493,1.26797,0,0
Original,1,26.8466,0.00964493,1.304,0,0
Original,2,32.2581,0.00981579,1.27341,0,0
Original,2,31.9747,0.00981618,1.36442,0,0
Original,2,32.1297,0.00980521,1.30901,0,0
Original,2,32.2071,0.00981418,1.35435,0,0
Original,2,30.1687,0.00982145,1.34295,0,0
Original,4,31.3831,0.0100139,1.59574,0,0
Original,4,30.5625,0.00999127,1.57914,0,0
Original,4,30.396,0.0100016,1.56936,0,0
Original,4,30.9046,0.010023,1.59156,0,0
Original,4,30.6089,0.010003,1.54219,0,0
Original,8,47.2642,0.0104758,3.9452,0,0
Original,8,50.5807,0.0105056,4.76523,0,0
Original,8,46.9612,0.0105106,4.48681,0,0
Original,8,50.4401,0.0105124,4.77505,0,0
Original,8,47.4867,0.0105102,4.50324,0,0
Original,16,64.2679,0.0127374,328.887,0,0
Original,16,69.2964,0.0129609,404.981,0,0
Original,16,66.7852,0.0127203,334.316,0,0
Original,16,67.2852,0.0127881,390.765,0,0
Original,16,66.648,0.0127525,357.951,0,0
Original,32,88.8796,0.0186412,4220.04,0,0
Original,32,111.586,0.0185664,5550.01,0,0
Original,32,87.651,0.0186081,4128.26,0,0
Original,32,102.471,0.0185117,5023.29,0,0
Original,32,89.4807,0.0183948,4222.73,0,0
Original,64,142.489,0.028117,7906.98,0,0
Original,64,135.939,0.0282357,7489.49,0,0
Original,64,205.152,0.0280193,11823,0,0
Original,64,142.718,0.0282729,7916.51,0,0
Original,64,148.165,0.0283015,8257.58,0,0
Original,128,283.401,0.0438803,15671.5,0,0
Original,128,365.733,0.0437001,20489.7,0,0
Original,128,301.338,0.0435469,16723.7,0,0
Original,128,332.539,0.0432747,18546.8,0,0
Original,128,360.359,0.0432039,20191,0,0
Relaxed,1,27.149,0.00964493,1.2779,0,0
Relaxed,1,26.9343,0.00964493,1.28323,0,0
Relaxed,1,26.8816,0.00964493,1.27885,0,0
Relaxed,1,26.834,0.00964493,1.26943,0,0
Relaxed,1,26.6944,0.00964493,1.28233,0,0
Relaxed,2,32.9503,0.00980829,1.22408,0,0
Relaxed,2,32.2797,0.00980483,1.30252,0,0
Relaxed,2,32.652,0.00980557,1.3871,0,0
Relaxed,2,31.2732,0.00980944,1.3077,0,0
Relaxed,2,31.3242,0.00982102,1.30096,0,0
Relaxed,4,30.5834,0.0100143,1.3538,0,0
Relaxed,4,29.7011,0.0100102,1.34231,0,0
Relaxed,4,30.2631,0.0099858,1.35241,0,0
Relaxed,4,30.418,0.0100271,1.38538,0,0
Relaxed,4,30.9293,0.010037,1.38854,0,0
Relaxed,8,45.3066,0.0105261,2.08148,0,0
Relaxed,8,47.3739,0.0104938,2.35645,0,0
Relaxed,8,52.4044,0.0104626,2.27336,0,0
Relaxed,8,47.5333,0.0104827,2.26787,0,0
Relaxed,8,51.9305,0.0104883,2.45026,0,0
Relaxed,16,68.4041,0.0127493,2.57141,0,0
Relaxed,16,68.1567,0.012597,2.73124,0,0
Relaxed,16,66.0805,0.0128498,2.55853,0,0
Relaxed,16,85.6543,0.0128452,3.14833,0,0
Relaxed,16,65.9521,0.0128089,2.44015,0,0
Relaxed,32,85.9479,0.0183036,27.5173,0,0
Relaxed,32,85.1109,0.0182962,26.3904,0,0
Relaxed,32,86.983,0.0183175,28.4469,0,0
Relaxed,32,85.4395,0.0183311,32.852,0,0
Relaxed,32,87.1318,0.0181319,27.0508,0,0
Relaxed,64,129.098,0.0279586,612.928,0,0
Relaxed,64,123.595,0.0278908,574.633,0,0
Relaxed,64,135.12,0.0278191,657.027,0,0
Relaxed,64,133.804,0.0279714,668.32,0,0
Relaxed,64,134.03,0.0279408,711.402,0,0
Relaxed,128,222.159,0.0431188,4841.21,0,0
Relaxed,128,300.585,0.0427295,6491.4,0,0
Relaxed,128,304.016,0.0423534,6580.75,0,0
Relaxed,128,321.315,0.0428533,6830.75,0,0
Relaxed,128,323.105,0.0431693,7071.85,0,0
