benchmark,records,workers,execution time (s),padding,read percentage,writes,reads,write throughput (ops/s),read throughput (ops/s),abort rate,avg adjust interval (ms),avg balance interval (ms),avg phase interval (ms)
mrv-flex-vector.balance-none,2,8,60,100000,50,1147043,1147809,19117.4,19130.2,0.587364,0,0.004302,0
mrv-flex-vector.balance-none,2,8,60,100000,50,1148377,1150886,19139.6,19181.4,0.5835,0,0.004259,0
mrv-flex-vector.balance-none,2,8,60,100000,50,1159931,1159514,19332.2,19325.2,0.583906,0,0.003675,0
mrv-flex-vector.balance-none,2,8,60,100000,50,1117600,1132355,18626.7,18872.6,0.590296,0,0.005554,0
mrv-flex-vector.balance-none,2,8,60,100000,50,1112171,1112280,18536.2,18538,0.5842,0,0.005935,0
mrv-flex-vector.balance-random,2,8,60,100000,50,1137709,1154257,18961.8,19237.6,0.584351,0,0.020376,0
mrv-flex-vector.balance-random,2,8,60,100000,50,1132908,1142517,18881.8,19042,0.584575,0,0.022516,0
mrv-flex-vector.balance-random,2,8,60,100000,50,1150820,1154687,19180.3,19244.8,0.583307,0,0.017866,0
mrv-flex-vector.balance-random,2,8,60,100000,50,1125614,1139551,18760.2,18992.5,0.582452,0,0.024784,0
mrv-flex-vector.balance-random,2,8,60,100000,50,1127012,1132072,18783.5,18867.9,0.583732,0,0.02419,0
mrv-flex-vector.balance-minmax,2,8,60,100000,50,1146305,1154076,19105.1,19234.6,0.583299,0,0.017668,0
mrv-flex-vector.balance-minmax,2,8,60,100000,50,1106787,1113047,18446.5,18550.8,0.584869,0,0.025513,0
mrv-flex-vector.balance-minmax,2,8,60,100000,50,1163693,1165013,19394.9,19416.9,0.583797,0,0.014404,0
mrv-flex-vector.balance-minmax,2,8,60,100000,50,1145655,1162647,19094.2,19377.5,0.584165,0,0.016959,0
mrv-flex-vector.balance-minmax,2,8,60,100000,50,1144024,1162931,19067.1,19382.2,0.583321,0,0.017636,0
mrv-flex-vector.balance-all,2,8,60,100000,50,1152946,1175275,19215.8,19587.9,0.585049,0,0.01419,0
mrv-flex-vector.balance-all,2,8,60,100000,50,1143728,1141647,19062.1,19027.5,0.582911,0,0.017533,0
mrv-flex-vector.balance-all,2,8,60,100000,50,1142451,1140819,19040.8,19013.7,0.582028,0,0.017586,0
mrv-flex-vector.balance-all,2,8,60,100000,50,1147865,1146807,19131.1,19113.5,0.582435,0,0.017703,0
mrv-flex-vector.balance-all,2,8,60,100000,50,1132755,1168764,18879.2,19479.4,0.584856,0,0.015326,0
mrv-flex-vector.balance-none,4,8,60,100000,50,1231090,1229603,20518.2,20493.4,0.543116,0,0.005201,0
mrv-flex-vector.balance-none,4,8,60,100000,50,1253438,1251810,20890.6,20863.5,0.540889,0,0.003804,0
mrv-flex-vector.balance-none,4,8,60,100000,50,1247572,1249149,20792.9,20819.2,0.539135,0,0.004556,0
mrv-flex-vector.balance-none,4,8,60,100000,50,1232841,1236702,20547.3,20611.7,0.545095,0,0.003667,0
mrv-flex-vector.balance-none,4,8,60,100000,50,1239487,1239141,20658.1,20652.3,0.544463,0,0.00468,0
mrv-flex-vector.balance-random,4,8,60,100000,50,1233988,1237148,20566.5,20619.1,0.542469,0,0.017726,0
mrv-flex-vector.balance-random,4,8,60,100000,50,1242559,1243184,20709.3,20719.7,0.540346,0,0.020019,0
mrv-flex-vector.balance-random,4,8,60,100000,50,1258747,1256220,20979.1,20937,0.538728,0,0.016411,0
mrv-flex-vector.balance-random,4,8,60,100000,50,1238736,1243139,20645.6,20719,0.547323,0,0.017381,0
mrv-flex-vector.balance-random,4,8,60,100000,50,1265322,1266419,21088.7,21107,0.538799,0,0.016301,0
mrv-flex-vector.balance-minmax,4,8,60,100000,50,1231383,1229497,20523,20491.6,0.539087,0,0.028185,0
mrv-flex-vector.balance-minmax,4,8,60,100000,50,1241892,1250829,20698.2,20847.2,0.541227,0,0.021013,0
mrv-flex-vector.balance-minmax,4,8,60,100000,50,1235020,1237984,20583.7,20633.1,0.545132,0,0.022014,0
mrv-flex-vector.balance-minmax,4,8,60,100000,50,1251237,1252774,20854,20879.6,0.539504,0,0.02431,0
mrv-flex-vector.balance-minmax,4,8,60,100000,50,1241543,1248920,20692.4,20815.3,0.540659,0,0.020676,0
mrv-flex-vector.balance-all,4,8,60,100000,50,1236862,1244521,20614.4,20742,0.540221,0,0.027112,0
mrv-flex-vector.balance-all,4,8,60,100000,50,1245251,1245363,20754.2,20756,0.538078,0,0.021944,0
mrv-flex-vector.balance-all,4,8,60,100000,50,1240060,1243089,20667.7,20718.2,0.53867,0,0.029705,0
mrv-flex-vector.balance-all,4,8,60,100000,50,1246371,1244306,20772.8,20738.4,0.541239,0,0.024103,0
mrv-flex-vector.balance-all,4,8,60,100000,50,1228538,1228429,20475.6,20473.8,0.539352,0,0.028467,0
mrv-flex-vector.balance-none,8,8,60,100000,50,1248552,1250319,20809.2,20838.7,0.521685,0,0.004906,0
mrv-flex-vector.balance-none,8,8,60,100000,50,1234474,1235294,20574.6,20588.2,0.520099,0,0.004359,0
mrv-flex-vector.balance-none,8,8,60,100000,50,1229197,1231197,20486.6,20520,0.518974,0,0.005356,0
mrv-flex-vector.balance-none,8,8,60,100000,50,1234092,1235092,20568.2,20584.9,0.520988,0,0.005223,0
mrv-flex-vector.balance-none,8,8,60,100000,50,1232891,1233158,20548.2,20552.6,0.522301,0,0.005267,0
mrv-flex-vector.balance-random,8,8,60,100000,50,1263361,1263895,21056,21064.9,0.519131,0,0.018393,0
mrv-flex-vector.balance-random,8,8,60,100000,50,1242181,1243339,20703,20722.3,0.518116,0,0.023546,0
mrv-flex-vector.balance-random,8,8,60,100000,50,1243290,1246917,20721.5,20782,0.516897,0,0.022686,0
mrv-flex-vector.balance-random,8,8,60,100000,50,1275443,1275938,21257.4,21265.6,0.516511,0,0.019695,0
mrv-flex-vector.balance-random,8,8,60,100000,50,1210812,1210414,20180.2,20173.6,0.524092,0,0.023847,0
mrv-flex-vector.balance-minmax,8,8,60,100000,50,1249466,1249017,20824.4,20817,0.51631,0,0.032086,0
mrv-flex-vector.balance-minmax,8,8,60,100000,50,1261768,1263255,21029.5,21054.2,0.519826,0,0.029659,0
mrv-flex-vector.balance-minmax,8,8,60,100000,50,1207666,1209486,20127.8,20158.1,0.52231,0,0.041401,0
mrv-flex-vector.balance-minmax,8,8,60,100000,50,1212893,1211243,20214.9,20187.4,0.520804,0,0.038391,0
mrv-flex-vector.balance-minmax,8,8,60,100000,50,1227839,1227839,20464,20464,0.518762,0,0.03944,0
mrv-flex-vector.balance-all,8,8,60,100000,50,1238450,1244113,20640.8,20735.2,0.516735,0,0.043317,0
mrv-flex-vector.balance-all,8,8,60,100000,50,1232377,1231775,20539.6,20529.6,0.520386,0,0.047708,0
mrv-flex-vector.balance-all,8,8,60,100000,50,1250564,1253788,20842.7,20896.5,0.515736,0,0.04013,0
mrv-flex-vector.balance-all,8,8,60,100000,50,1232060,1245740,20534.3,20762.3,0.518646,0,0.041697,0
mrv-flex-vector.balance-all,8,8,60,100000,50,1259040,1257051,20984,20950.8,0.516675,0,0.038643,0
mrv-flex-vector.balance-none,16,8,60,100000,50,1128329,1129116,18805.5,18818.6,0.513378,0,0.005618,0
mrv-flex-vector.balance-none,16,8,60,100000,50,1118254,1119879,18637.6,18664.7,0.515184,0,0.005119,0
mrv-flex-vector.balance-none,16,8,60,100000,50,1132052,1135428,18867.5,18923.8,0.512949,0,0.00585,0
mrv-flex-vector.balance-none,16,8,60,100000,50,1093447,1091042,18224.1,18184,0.518147,0,0.006256,0
mrv-flex-vector.balance-none,16,8,60,100000,50,1146126,1147390,19102.1,19123.2,0.509121,0,0.004515,0
mrv-flex-vector.balance-random,16,8,60,100000,50,1158577,1158082,19309.6,19301.4,0.505827,0,0.03039,0
mrv-flex-vector.balance-random,16,8,60,100000,50,1141939,1140033,19032.3,19000.5,0.511867,0,0.028547,0
mrv-flex-vector.balance-random,16,8,60,100000,50,1158042,1163028,19300.7,19383.8,0.511529,0,0.027424,0
mrv-flex-vector.balance-random,16,8,60,100000,50,1163520,1162585,19392,19376.4,0.505827,0,0.026439,0
mrv-flex-vector.balance-random,16,8,60,100000,50,1158189,1158269,19303.2,19304.5,0.506323,0,0.030117,0
mrv-flex-vector.balance-minmax,16,8,60,100000,50,1157283,1157467,19288,19291.1,0.505696,0,0.05934,0
mrv-flex-vector.balance-minmax,16,8,60,100000,50,1171705,1169023,19528.4,19483.7,0.508365,0,0.055463,0
mrv-flex-vector.balance-minmax,16,8,60,100000,50,1147619,1145748,19127,19095.8,0.507139,0,0.060216,0
mrv-flex-vector.balance-minmax,16,8,60,100000,50,1078771,1081361,17979.5,18022.7,0.518258,0,0.07357,0
mrv-flex-vector.balance-minmax,16,8,60,100000,50,1140235,1143942,19003.9,19065.7,0.510744,0,0.063777,0
mrv-flex-vector.balance-all,16,8,60,100000,50,1131463,1142611,18857.7,19043.5,0.510537,0,0.098208,0
mrv-flex-vector.balance-all,16,8,60,100000,50,1192663,1192891,19877.7,19881.5,0.504792,0,0.079042,0
mrv-flex-vector.balance-all,16,8,60,100000,50,1168547,1168026,19475.8,19467.1,0.505118,0,0.098319,0
mrv-flex-vector.balance-all,16,8,60,100000,50,1142240,1152964,19037.3,19216.1,0.507409,0,0.095171,0
mrv-flex-vector.balance-all,16,8,60,100000,50,1177042,1185096,19617.4,19751.6,0.505772,0,0.084955,0
