benchmark,records,workers,execution time (s),abort rate,avg adjust interval (ms),avg balance interval (ms),avg phase interval (ms)
mrv-flex-vector.balance-none,2,8,45.4813,0.0105093,0,25.9955,0
mrv-flex-vector.balance-none,2,8,53.1992,0.0105266,0,29.9215,0
mrv-flex-vector.balance-none,2,8,50.7674,0.0105147,0,27.4076,0
mrv-flex-vector.balance-none,2,8,50.8608,0.0105231,0,28.3642,0
mrv-flex-vector.balance-none,2,8,50.0051,0.010521,0,29.4318,0
mrv-flex-vector.balance-random,2,8,54.9887,0.0109429,0,238.852,0
mrv-flex-vector.balance-random,2,8,55.0102,0.0108704,0,232.907,0
mrv-flex-vector.balance-random,2,8,55.3521,0.0109474,0,250.03,0
mrv-flex-vector.balance-random,2,8,56.5869,0.0109027,0,247.05,0
mrv-flex-vector.balance-random,2,8,54.0176,0.0109122,0,211.711,0
mrv-flex-vector.balance-minmax,2,8,55.7024,0.0109001,0,245.057,0
mrv-flex-vector.balance-minmax,2,8,55.2567,0.0109433,0,238.702,0
mrv-flex-vector.balance-minmax,2,8,54.9903,0.0109466,0,194.916,0
mrv-flex-vector.balance-minmax,2,8,57.2587,0.010896,0,259.561,0
mrv-flex-vector.balance-minmax,2,8,55.918,0.0109403,0,232.692,0
mrv-flex-vector.balance-all,2,8,58.7142,0.0110586,0,310.644,0
mrv-flex-vector.balance-all,2,8,62.4681,0.0110476,0,300.172,0
mrv-flex-vector.balance-all,2,8,59.6887,0.0110443,0,423.359,0
mrv-flex-vector.balance-all,2,8,65.585,0.0111148,0,371.598,0
mrv-flex-vector.balance-all,2,8,60.6247,0.0110504,0,369.968,0
mrv-flex-vector.balance-none,4,8,46.6652,0.0105222,0,25.134,0
mrv-flex-vector.balance-none,4,8,50.0379,0.0105099,0,26.8078,0
mrv-flex-vector.balance-none,4,8,47.7105,0.0104879,0,24.695,0
mrv-flex-vector.balance-none,4,8,47.7567,0.0105733,0,25.5683,0
mrv-flex-vector.balance-none,4,8,48.1549,0.0104753,0,24.8808,0
mrv-flex-vector.balance-random,4,8,52.1033,0.010995,0,256.985,0
mrv-flex-vector.balance-random,4,8,55.2889,0.0110272,0,254.181,0
mrv-flex-vector.balance-random,4,8,63.2596,0.0109996,0,307.669,0
mrv-flex-vector.balance-random,4,8,54.1937,0.0110281,0,249.646,0
mrv-flex-vector.balance-random,4,8,59.5366,0.0110386,0,263.156,0
mrv-flex-vector.balance-minmax,4,8,56.7613,0.0110436,0,307.877,0
mrv-flex-vector.balance-minmax,4,8,56.5113,0.0110462,0,355.687,0
mrv-flex-vector.balance-minmax,4,8,55.8149,0.0110359,0,319.255,0
mrv-flex-vector.balance-minmax,4,8,54.1887,0.0110204,0,307.618,0
mrv-flex-vector.balance-minmax,4,8,54.6474,0.0110106,0,310.562,0
mrv-flex-vector.balance-all,4,8,55.171,0.0109593,0,375.07,0
mrv-flex-vector.balance-all,4,8,58.1423,0.0109753,0,447.784,0
mrv-flex-vector.balance-all,4,8,59.8196,0.0110041,0,371.099,0
mrv-flex-vector.balance-all,4,8,59.6959,0.0109516,0,452.489,0
mrv-flex-vector.balance-all,4,8,62.9836,0.0109601,0,407.94,0
mrv-flex-vector.balance-none,8,8,47.9589,0.0104887,0,21.6737,0
mrv-flex-vector.balance-none,8,8,46.7452,0.0105075,0,22.5055,0
mrv-flex-vector.balance-none,8,8,49.7746,0.0104993,0,22.5816,0
mrv-flex-vector.balance-none,8,8,50.6888,0.0104755,0,21.5724,0
mrv-flex-vector.balance-none,8,8,52.2573,0.0105498,0,22.8092,0
mrv-flex-vector.balance-random,8,8,54.3764,0.0109313,0,328.206,0
mrv-flex-vector.balance-random,8,8,55.5614,0.0109507,0,291.414,0
mrv-flex-vector.balance-random,8,8,58.0587,0.0109572,0,303.16,0
mrv-flex-vector.balance-random,8,8,51.685,0.0109459,0,280.041,0
mrv-flex-vector.balance-random,8,8,53.2333,0.0110037,0,254.64,0
mrv-flex-vector.balance-minmax,8,8,54.4744,0.0109483,0,418.63,0
mrv-flex-vector.balance-minmax,8,8,58.5528,0.0109532,0,432.09,0
mrv-flex-vector.balance-minmax,8,8,59.4528,0.0109258,0,429.678,0
mrv-flex-vector.balance-minmax,8,8,56.5713,0.0108908,0,409.173,0
mrv-flex-vector.balance-minmax,8,8,55.8546,0.0109035,0,410.794,0
mrv-flex-vector.balance-all,8,8,61.1961,0.0108554,0,572.448,0
mrv-flex-vector.balance-all,8,8,59.978,0.0109005,0,566.644,0
mrv-flex-vector.balance-all,8,8,56.8752,0.0108812,0,511.189,0
mrv-flex-vector.balance-all,8,8,60.5154,0.0108758,0,543.644,0
mrv-flex-vector.balance-all,8,8,56.981,0.0108533,0,603.221,0
mrv-flex-vector.balance-none,16,8,48.8058,0.0105483,0,17.3215,0
mrv-flex-vector.balance-none,16,8,49.3196,0.0105449,0,16.9214,0
mrv-flex-vector.balance-none,16,8,50.7104,0.0105317,0,17.3407,0
mrv-flex-vector.balance-none,16,8,46.3908,0.0104932,0,18.0289,0
