benchmark,workers,execution time (s),abort rate,avg adjust interval (ms),avg balance interval (ms),avg phase interval (ms)
High,1,29.7115,0.00175727,0,0,48.7265
High,1,29.7732,0.00175727,0,0,48.1904
High,1,29.8673,0.00175727,0,0,48.9944
High,1,29.7209,0.00175727,0,0,48.002
High,1,30.1313,0.00175727,0,0,48.9498
High,2,32.1807,0.012165,0,0,52.5962
High,2,31.433,0.0122659,0,0,51.351
High,2,32.4324,0.0119438,0,0,51.3327
High,2,31.6177,0.0119415,0,0,51.2191
High,2,31.947,0.0122605,0,0,51.366
High,4,35.5052,0.0328042,0,0,60.2812
High,4,34.5707,0.0324943,0,0,59.9985
High,4,35.67,0.0324415,0,0,60.5884
High,4,35.1331,0.0326225,0,0,59.3781
High,4,35.9661,0.0326621,0,0,59.6214
High,8,81.8003,0.0671299,0,0,74.3128
High,8,85.6563,0.0671433,0,0,71.9514
High,8,74.8126,0.0683002,0,0,74.6494
High,8,80.3993,0.0667478,0,0,68.9125
High,8,73.4465,0.0689949,0,0,72.525
High,16,132.965,0.115304,0,0,55.4007
High,16,132.32,0.114778,0,0,56.1695
High,16,130.383,0.115149,0,0,55.4547
High,16,135.826,0.116059,0,0,58.6154
High,16,134.691,0.116277,0,0,58.2562
High,32,168.529,0.202256,0,0,63.2239
High,32,176.849,0.202228,0,0,67.4063
High,32,165.15,0.202165,0,0,62.4285
High,32,163.476,0.200526,0,0,62.6644
High,32,175.75,0.201498,0,0,67.7423
High,64,257.897,0.331512,0,0,101.502
High,64,228.465,0.330432,0,0,86.6461
High,64,263.92,0.329422,0,0,104.329
High,64,256.514,0.330732,0,0,100.178
High,64,258.663,0.331356,0,0,100.852
High,128,504.442,0.489348,0,0,215.359
High,128,498.597,0.490753,0,0,210.671
High,128,521.195,0.490164,0,0,222.022
High,128,539.883,0.489991,0,0,231.185
High,128,515.243,0.490653,0,0,219.492
Low,1,19.4317,0.00112623,0,0,45.7598
Low,1,19.2928,0.00112642,0,0,46.4386
Low,1,18.9811,0.00112642,0,0,45.7538
Low,1,19.5352,0.00112642,0,0,46.6354
Low,1,19.3903,0.00112623,0,0,45.6632
Low,2,21.7959,0.00186699,0,0,49.2207
Low,2,21.1108,0.0018937,0,0,47.9859
Low,2,21.7417,0.00185929,0,0,48.8068
Low,2,21.5661,0.00189028,0,0,48.122
Low,2,21.617,0.00188227,0,0,48.6176
Low,4,22.5595,0.00351369,0,0,53.9285
Low,4,22.1478,0.00349353,0,0,54.0272
Low,4,22.4078,0.00348548,0,0,53.8043
Low,4,22.5253,0.00350546,0,0,53.9365
Low,4,22.8438,0.00352941,0,0,53.9904
Low,8,35.0322,0.00649666,0,0,71.1062
Low,8,42.77,0.00683023,0,0,82.9396
Low,8,39.6955,0.00662377,0,0,73.7358
Low,8,37.9158,0.00652527,0,0,71.4889
Low,8,37.3328,0.00660465,0,0,71.7881
Low,16,42.6692,0.0210788,0,0,833.246
Low,16,42.8967,0.0221734,0,0,1846.16
Low,16,42.4358,0.0206963,0,0,766.151
Low,16,43.8,0.0204669,0,0,911.691
Low,16,43.7821,0.021683,0,0,1729.79
Low,32,47.4731,0.0470224,0,0,3145.72
Low,32,47.733,0.0481836,0,0,5947.24
Low,32,50.2319,0.0478559,0,0,5003.66
Low,32,48.771,0.0469005,0,0,2850.22
Low,32,47.1933,0.0477274,0,0,5880.41
Low,64,60.0717,0.0612896,0,0,11999.5
Low,64,63.5251,0.0714498,0,0,15857.4
Low,64,58.5887,0.0714705,0,0,14625
Low,64,83.176,0.064497,0,0,16611.4
Low,64,66.0567,0.0662881,0,0,13199.2
Low,128,94.5509,0.0672481,0,0,47256.7
Low,128,118.507,0.0916561,0,0,39478.9
Low,128,103.582,0.0692216,0,0,51761
Low,128,134.428,0.0799789,0,0,44776
Low,128,105.264,0.0648815,0,0,35064
