benchmark,workers,execution time (s),padding,read percentage,writes,reads,write throughput (ops/s),read throughput (ops/s),abort rate,avg adjust interval (ms),avg balance interval (ms),avg phase interval (ms)
single,8,60,100000,0,1001326,0,16688.8,0,0.816288,0,0,0
single,8,60,100000,0,1033521,0,17225.3,0,0.814022,0,0,0
single,8,60,100000,0,996948,0,16615.8,0,0.813667,0,0,0
single,8,60,100000,0,1027952,0,17132.5,0,0.814144,0,0,0
single,8,60,100000,0,1023084,0,17051.4,0,0.814517,0,0,0
single,8,60,100000,5,1009761,54596,16829.3,909.933,0.805997,0,0,0
single,8,60,100000,5,988151,52993,16469.2,883.217,0.803591,0,0,0
single,8,60,100000,5,1010326,54981,16838.8,916.35,0.806035,0,0,0
single,8,60,100000,5,1035341,55888,17255.7,931.467,0.804983,0,0,0
single,8,60,100000,5,1017943,54002,16965.7,900.033,0.804002,0,0,0
single,8,60,100000,10,1000435,114786,16673.9,1913.1,0.795645,0,0,0
single,8,60,100000,10,996745,115153,16612.4,1919.22,0.796356,0,0,0
single,8,60,100000,10,1021243,114810,17020.7,1913.5,0.795589,0,0,0
single,8,60,100000,10,1014900,115843,16915,1930.72,0.795991,0,0,0
single,8,60,100000,10,1010330,113139,16838.8,1885.65,0.79496,0,0,0
single,8,60,100000,15,1027623,181718,17127,3028.63,0.786401,0,0,0
single,8,60,100000,15,1008695,177711,16811.6,2961.85,0.785718,0,0,0
single,8,60,100000,15,1002602,177023,16710,2950.38,0.785247,0,0,0
single,8,60,100000,15,1012643,187643,16877.4,3127.38,0.787072,0,0,0
single,8,60,100000,15,1013750,181336,16895.8,3022.27,0.786492,0,0,0
single,8,60,100000,20,1006205,258927,16770.1,4315.45,0.773992,0,0,0
single,8,60,100000,20,986695,257090,16444.9,4284.83,0.774593,0,0,0
single,8,60,100000,20,1005369,255380,16756.2,4256.33,0.773974,0,0,0
single,8,60,100000,20,1018495,254272,16974.9,4237.87,0.775843,0,0,0
single,8,60,100000,20,992528,252024,16542.1,4200.4,0.774421,0,0,0
single,8,60,100000,25,1003052,333742,16717.5,5562.37,0.76394,0,0,0
single,8,60,100000,25,966268,346318,16104.5,5771.97,0.762281,0,0,0
single,8,60,100000,25,1005830,337738,16763.8,5628.97,0.762307,0,0,0
single,8,60,100000,25,993422,349411,16557,5823.52,0.762754,0,0,0
single,8,60,100000,25,997583,338977,16626.4,5649.62,0.761815,0,0,0
single,8,60,100000,30,985966,437694,16432.8,7294.9,0.749259,0,0,0
single,8,60,100000,30,993059,429361,16551,7156.02,0.748776,0,0,0
single,8,60,100000,30,993788,437408,16563.1,7290.13,0.748776,0,0,0
single,8,60,100000,30,994074,430882,16567.9,7181.37,0.748853,0,0,0
single,8,60,100000,30,994779,436196,16579.7,7269.93,0.748964,0,0,0
single,8,60,100000,35,982703,533695,16378.4,8894.92,0.733921,0,0,0
single,8,60,100000,35,982012,533888,16366.9,8898.13,0.734164,0,0,0
single,8,60,100000,35,978350,525610,16305.8,8760.17,0.736168,0,0,0
single,8,60,100000,35,984816,529883,16413.6,8831.38,0.733959,0,0,0
single,8,60,100000,35,978176,540046,16302.9,9000.77,0.734155,0,0,0
single,8,60,100000,40,951277,675343,15854.6,11255.7,0.715118,0,0,0
single,8,60,100000,40,965326,649847,16088.8,10830.8,0.717544,0,0,0
single,8,60,100000,40,968172,649020,16136.2,10817,0.717495,0,0,0
single,8,60,100000,40,960719,659941,16012,10999,0.71602,0,0,0
single,8,60,100000,40,975007,650104,16250.1,10835.1,0.717712,0,0,0
single,8,60,100000,45,953649,778769,15894.1,12979.5,0.698768,0,0,0
single,8,60,100000,45,951458,780796,15857.6,13013.3,0.698045,0,0,0
single,8,60,100000,45,939227,802572,15653.8,13376.2,0.697102,0,0,0
single,8,60,100000,45,940907,780344,15681.8,13005.7,0.698343,0,0,0
single,8,60,100000,45,957548,782498,15959.1,13041.6,0.697431,0,0,0
single,8,60,100000,50,935048,936017,15584.1,15600.3,0.676838,0,0,0
single,8,60,100000,50,933362,937936,15556,15632.3,0.677351,0,0,0
single,8,60,100000,50,926179,946878,15436.3,15781.3,0.675452,0,0,0
single,8,60,100000,50,934135,945671,15568.9,15761.2,0.677745,0,0,0
single,8,60,100000,50,931713,932615,15528.5,15543.6,0.676357,0,0,0
single,8,60,100000,55,891296,1150688,14854.9,19178.1,0.647667,0,0,0
single,8,60,100000,55,906281,1105249,15104.7,18420.8,0.652649,0,0,0
single,8,60,100000,55,907866,1108760,15131.1,18479.3,0.652266,0,0,0
single,8,60,100000,55,903395,1120735,15056.6,18678.9,0.650138,0,0,0
single,8,60,100000,55,885575,1172719,14759.6,19545.3,0.645367,0,0,0
single,8,60,100000,60,870627,1324471,14510.5,22074.5,0.621034,0,0,0
single,8,60,100000,60,858074,1318245,14301.2,21970.8,0.619471,0,0,0
single,8,60,100000,60,869533,1304995,14492.2,21749.9,0.621251,0,0,0
single,8,60,100000,60,881695,1321933,14694.9,22032.2,0.622487,0,0,0
single,8,60,100000,60,870626,1329951,14510.4,22165.8,0.620231,0,0,0
